batch,epoch,loss
0,1,0.0786171406507492
1,1,0.08032805472612381
2,1,0.07389618456363678
3,1,0.06983859091997147
4,1,0.0829179584980011
5,1,0.0736621618270874
6,1,0.07320371270179749
7,1,0.0842798724770546
8,1,0.07123716175556183
9,1,0.07226673513650894
10,1,0.06455214321613312
11,1,0.059153757989406586
12,1,0.09025537967681885
13,1,0.0632353201508522
14,1,0.09057165682315826
15,1,0.06320261210203171
16,1,0.049388375133275986
17,1,0.05168307572603226
18,1,0.09533694386482239
19,1,0.07112841308116913
20,1,0.0706479400396347
21,1,0.08555211126804352
22,1,0.056313030421733856
23,1,0.08732926845550537
24,1,0.06401176750659943
25,1,0.08800545334815979
26,1,0.0851079449057579
27,1,0.06413203477859497
28,1,0.044498737901449203
29,1,0.08110001683235168
30,1,0.08570653200149536
31,1,0.09772227704524994
32,1,0.07084377855062485
33,1,0.06686649471521378
34,1,0.042230188846588135
35,1,0.08131822943687439
36,1,0.09585162997245789
37,1,0.04926230013370514
38,1,0.060474760830402374
39,1,0.07912921905517578
40,1,0.10458777844905853
41,1,0.066757932305336
42,1,0.10753229260444641
43,1,0.06516901403665543
44,1,0.08417076617479324
45,1,0.08628672361373901
46,1,0.03886248916387558
47,1,0.08342157304286957
48,1,0.06709843128919601
49,1,0.06352690607309341
50,1,0.1246878132224083
51,1,0.05485986918210983
52,1,0.09349405765533447
53,1,0.10549673438072205
54,1,0.10999730229377747
55,1,0.04373238980770111
56,1,0.04490918666124344
57,1,0.10374058037996292
58,1,0.10287165641784668
59,1,0.058297183364629745
60,1,0.08535902202129364
61,1,0.07280910015106201
62,1,0.9698524475097656
0,2,0.06722551584243774
1,2,0.09411509335041046
2,2,0.08834148943424225
3,2,0.06439653038978577
4,2,0.06527058780193329
5,2,0.06453658640384674
6,2,0.0762246623635292
7,2,0.06438037753105164
8,2,0.06574719399213791
9,2,0.09317398071289062
10,2,0.07899965345859528
11,2,0.05195789784193039
12,2,0.055322349071502686
13,2,0.06150031462311745
14,2,0.0829893946647644
15,2,0.0972459465265274
16,2,0.08492830395698547
17,2,0.06088611111044884
18,2,0.07360546290874481
19,2,0.08442683517932892
20,2,0.044461123645305634
21,2,0.08757386356592178
22,2,0.086276575922966
23,2,0.09980098903179169
24,2,0.07933009415864944
25,2,0.06478626281023026
26,2,0.057934049516916275
27,2,0.06457658857107162
28,2,0.07008059322834015
29,2,0.054411035031080246
30,2,0.0756136104464531
31,2,0.057622067630290985
32,2,0.05665343999862671
33,2,0.06892549991607666
34,2,0.04997633770108223
35,2,0.06262661516666412
36,2,0.058647967875003815
37,2,0.03985694795846939
38,2,0.05342107266187668
39,2,0.0883055329322815
40,2,0.05802732706069946
41,2,0.05345044285058975
42,2,0.07643954455852509
43,2,0.0547717921435833
44,2,0.050926171243190765
45,2,0.10402543842792511
46,2,0.04970007389783859
47,2,0.08614416420459747
48,2,0.08027030527591705
49,2,0.06364669650793076
50,2,0.08571401238441467
51,2,0.09118877351284027
52,2,0.10144668817520142
53,2,0.06019285321235657
54,2,0.052670322358608246
55,2,0.06016138568520546
56,2,0.08712155371904373
57,2,0.13866490125656128
58,2,0.12670746445655823
59,2,0.062165334820747375
60,2,0.08808858692646027
61,2,0.1075122207403183
62,2,1.1436623334884644
0,3,0.03848406299948692
1,3,0.11207204312086105
2,3,0.05426132678985596
3,3,0.06012868508696556
4,3,0.10262273252010345
5,3,0.07093802839517593
6,3,0.09202288091182709
7,3,0.09659329056739807
8,3,0.05516921728849411
9,3,0.06437189877033234
10,3,0.07863277196884155
11,3,0.07335228472948074
12,3,0.052363768219947815
13,3,0.10442522168159485
14,3,0.06887586414813995
15,3,0.07140417397022247
16,3,0.08025623112916946
17,3,0.07162542641162872
18,3,0.06725548207759857
19,3,0.08373752981424332
20,3,0.07375320792198181
21,3,0.05131472647190094
22,3,0.06992845237255096
23,3,0.07030883431434631
24,3,0.07172255218029022
25,3,0.05563519895076752
26,3,0.059389643371105194
27,3,0.042179353535175323
28,3,0.09040310978889465
29,3,0.11264668405056
30,3,0.06685265898704529
31,3,0.07122253626585007
32,3,0.0525406152009964
33,3,0.08009319752454758
34,3,0.04152845963835716
35,3,0.08927696198225021
36,3,0.05083266645669937
37,3,0.090321384370327
38,3,0.049015313386917114
39,3,0.04188687354326248
40,3,0.08656744658946991
41,3,0.04703850299119949
42,3,0.06352578848600388
43,3,0.07663466036319733
44,3,0.07377979159355164
45,3,0.08775873482227325
46,3,0.07854963839054108
47,3,0.0524710938334465
48,3,0.09483560919761658
49,3,0.08541280776262283
50,3,0.07574222981929779
51,3,0.0905703753232956
52,3,0.06436420977115631
53,3,0.052460651844739914
54,3,0.06722824275493622
55,3,0.0711410790681839
56,3,0.0682305097579956
57,3,0.03787563741207123
58,3,0.06154312565922737
59,3,0.10437873005867004
60,3,0.06665350496768951
61,3,0.1113855242729187
62,3,0.3756487965583801
0,4,0.06283989548683167
1,4,0.09649063646793365
2,4,0.06685851514339447
3,4,0.08552942425012589
4,4,0.09513382613658905
5,4,0.06902723759412766
6,4,0.05815108120441437
7,4,0.03655491769313812
8,4,0.0926896333694458
9,4,0.0747545138001442
10,4,0.0651058554649353
11,4,0.06041944399476051
12,4,0.09941031783819199
13,4,0.04054270684719086
14,4,0.05358990281820297
15,4,0.05006345361471176
16,4,0.0871061235666275
17,4,0.039507534354925156
18,4,0.05690188705921173
19,4,0.04528789222240448
20,4,0.10214909166097641
21,4,0.11503711342811584
22,4,0.07452251017093658
23,4,0.03571268171072006
24,4,0.09591235220432281
25,4,0.038696058094501495
26,4,0.06345631182193756
27,4,0.06618303805589676
28,4,0.09226733446121216
29,4,0.07313264906406403
30,4,0.052309799939394
31,4,0.07915467768907547
32,4,0.04928147792816162
33,4,0.1122037023305893
34,4,0.08360637724399567
35,4,0.09077316522598267
36,4,0.09833476692438126
37,4,0.04587928205728531
38,4,0.08724185079336166
39,4,0.049111124128103256
40,4,0.06858664751052856
41,4,0.04778040200471878
42,4,0.0629233866930008
43,4,0.06821057200431824
44,4,0.05581062287092209
45,4,0.08679045736789703
46,4,0.08148473501205444
47,4,0.04012128710746765
48,4,0.08815683424472809
49,4,0.05415811017155647
50,4,0.08925196528434753
51,4,0.061095744371414185
52,4,0.053120207041502
53,4,0.07126558572053909
54,4,0.07661392539739609
55,4,0.0654192864894867
56,4,0.039762359112501144
57,4,0.059769392013549805
58,4,0.0689079537987709
59,4,0.0786379873752594
60,4,0.09687948226928711
61,4,0.08266110718250275
62,4,1.0838830471038818
0,5,0.07353678345680237
1,5,0.07557247579097748
2,5,0.041899487376213074
3,5,0.11843150109052658
4,5,0.09858106821775436
5,5,0.05915875732898712
6,5,0.05158328264951706
7,5,0.1186334490776062
8,5,0.08708718419075012
9,5,0.06474359333515167
10,5,0.05913073569536209
11,5,0.07590559870004654
12,5,0.0532170869410038
13,5,0.08213087916374207
14,5,0.07354447990655899
15,5,0.06043599545955658
16,5,0.07575707882642746
17,5,0.059592727571725845
18,5,0.057051219046115875
19,5,0.06323431432247162
20,5,0.051387835294008255
21,5,0.08180708438158035
22,5,0.0687125027179718
23,5,0.06547670066356659
24,5,0.0956936627626419
25,5,0.062336549162864685
26,5,0.08708594739437103
27,5,0.058059997856616974
28,5,0.055451855063438416
29,5,0.10642874985933304
30,5,0.056608036160469055
31,5,0.05974514037370682
32,5,0.0811074823141098
33,5,0.0759473517537117
